[2026/06/28 09:59:55.713] INFO:     /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: New recording or copying file detected.
[2026/06/28 09:59:55.713] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File size is 0. ignored.
[2026/06/28 09:59:55.866] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 09:59:56.419] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 09:59:56.672] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 09:59:57.276] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 09:59:57.629] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 09:59:57.731] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 09:59:58.184] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 09:59:58.988] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 09:59:58.990] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 09:59:59.695] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:00.199] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 10:00:00.200] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:00.904] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:01.471] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 10:00:01.472] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:01.974] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:02.478] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:02.830] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
[2026/06/28 10:00:02.831] WARNING:  /mnt/recording/20260628_相棒 season16 #8第8話「ドグマ」（2017-2018年／全20話）.ts: File is not recording. ignored.
[2026/06/28 10:00:03.934] WARNING:  /mnt/recording/20260628_鉄道伝説　第181回「JR東日本E655系電車 ～お召列車初の電車～」.ts: File is not recording. ignored.
